Grafo 0:
42 - 56

Grafo 89:
0 - 89
1 - 93
2 - 83
3 - 86
4 - 92
5 - 34
6 - 71
7 - 85
8 - 91
9 - 63
10 - 82
11 - 76
12 - 84
13 - 39
14 - 51
15 - 52
16 - 41
17 - 47
18 - 87
19 - 53
20 - 54
21 - 88
22 - 59
23 - 38
24 - 73
25 - 66
26 - 37
27 - 80
28 - 77
29 - 49
30 - 42
31 - 90
32 - 58
33 - 56
35 - 69
36 - 45
37 - 55
38 - 68
39 - 65
40 - 43
41 - 67
42 - 62
43 - 70
44 - 57
45 - 64
46 - 78
51 - 61
52 - 72
54 - 81
56 - 75
68 - 79

Grafo 90:
0 - 66
1 - 55
2 - 75
3 - 73
4 - 46
5 - 62
6 - 39
7 - 77
8 - 68
9 - 76
10 - 70
11 - 37
12 - 49
13 - 28
14 - 57
15 - 74
16 - 69
17 - 61
18 - 71
19 - 59
20 - 30
21 - 33
22 - 58
23 - 52
24 - 64
25 - 32
26 - 48
27 - 65
28 - 54
29 - 51
30 - 60
31 - 72
32 - 44
33 - 67
35 - 38
36 - 42
37 - 50
38 - 47
39 - 41
40 - 45
41 - 53
49 - 63

Grafo 91:
0 - 59
1 - 56
2 - 58
3 - 57
4 - 54
5 - 53
6 - 55
7 - 52
8 - 49
9 - 51
10 - 48
11 - 50
12 - 47
13 - 45
14 - 43
15 - 44
16 - 40
17 - 46
18 - 29
19 - 41
20 - 39
21 - 31
22 - 37
23 - 32
24 - 34
25 - 42
26 - 27
27 - 38
28 - 36
29 - 33
31 - 35

Grafo 92:
0 - 21
1 - 34
2 - 31
3 - 13
4 - 29
5 - 33
6 - 25
7 - 32
8 - 22
9 - 27
10 - 30
11 - 26
12 - 16
13 - 28
14 - 19
15 - 23
17 - 18
23 - 24

Grafo 93:
0 - 13
1 - 12
2 - 6
3 - 11
4 - 8
5 - 10
7 - 9

Grafo 94:
0 - 71
1 - 70
2 - 64
3 - 68
4 - 69
5 - 67
6 - 66
7 - 62
8 - 53
9 - 65
10 - 57
11 - 60
12 - 61
13 - 63
14 - 49
15 - 54
16 - 52
17 - 55
18 - 59
19 - 58
20 - 56
21 - 27
22 - 46
23 - 40
24 - 34
25 - 41
26 - 45
27 - 43
28 - 51
29 - 48
30 - 50
31 - 47
32 - 42
33 - 39
34 - 35
35 - 44

Grafo 95:
0 - 41
1 - 28
2 - 38
3 - 39
4 - 35
5 - 40
6 - 17
7 - 34
8 - 32
9 - 19
10 - 36
11 - 33
12 - 37
13 - 27
14 - 31
15 - 20
16 - 24
17 - 22
18 - 21
19 - 25
20 - 23
22 - 30
23 - 26

Grafo 96:
0 - 75
1 - 74
2 - 73
3 - 72
4 - 71
5 - 70
6 - 68
7 - 69
8 - 52
9 - 67
10 - 65
11 - 63
12 - 62
13 - 58
14 - 66
15 - 59
16 - 60
17 - 64
18 - 50
19 - 61
20 - 54
21 - 56
22 - 53
23 - 46
24 - 55
25 - 45
26 - 49
27 - 57
28 - 35
29 - 41
30 - 47
31 - 33
32 - 51
33 - 37
34 - 48
35 - 39
36 - 44
37 - 42
39 - 43

Grafo 97:
0 - 46
1 - 45
2 - 44
3 - 43
4 - 42
5 - 41
6 - 40
7 - 37
8 - 39
9 - 38
10 - 36
11 - 35
12 - 34
13 - 33
14 - 32
15 - 31
16 - 30
17 - 29
18 - 28
19 - 27
20 - 26
21 - 25
22 - 24

Grafo 98:
0 - 77
1 - 76
2 - 75
3 - 46
4 - 74
5 - 72
6 - 73
7 - 67
8 - 70
9 - 69
10 - 68
11 - 54
12 - 71
13 - 66
14 - 57
15 - 64
16 - 63
17 - 62
18 - 58
19 - 60
20 - 61
21 - 59
22 - 45
23 - 65
24 - 56
25 - 51
26 - 41
27 - 44
28 - 55
29 - 35
30 - 34
31 - 53
32 - 39
33 - 40
34 - 52
35 - 37
36 - 49
37 - 47
38 - 50
39 - 42
41 - 48

Grafo 99:
0 - 21
1 - 31
2 - 33
3 - 26
4 - 32
5 - 6
6 - 24
7 - 30
8 - 28
9 - 23
10 - 13
11 - 29
12 - 19
13 - 22
15 - 25
16 - 20
19 - 27

